Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Rated,Released,Writer,Country,Awards,BoxOffice
622,Underworld Awakening,"Action,Fantasy,Horror","When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",Måns Mårlind,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea",2012,88,6.4,127157,62.32,39,NA,NA,NA,NA,NA,NA
623,Antichrist,"Drama,Horror","A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",2009,108,6.6,94069,0.4,49,Not Rated,20 May 2009,Lars von Trier,"Denmark, Germany, France, Sweden, Italy, Poland",21 wins & 33 nominations total,"$404,122"
624,Friday the 13th,Horror,"A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions.",Marcus Nispel,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker",2009,97,5.6,78631,65,34,R,13 Feb 2009,"Victor Miller, Damian Shannon, Mark Swift",United States,2 wins & 5 nominations total,"$65,002,019"
633,The Host,"Comedy,Drama,Horror",A monster emerges from Seoul's Han River and focuses its attention on attacking people. One victim's loving family does what it can to rescue her from its clutches.,Bong Joon Ho,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae",2006,120,7,73491,2.2,85,R,30 Mar 2007,"Bong Joon Ho, Won-jun Ha, Chul-hyun Baek","South Korea, Japan",30 wins & 37 nominations total,"$2,201,923"
634,Megan Is Missing,"Drama,Horror,Thriller",Two teenage girls encounter an Internet child predator.,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer",2011,85,4.9,6683,NA,94,Not Rated,01 May 2011,Michael Goi,United States,1 nomination total,N/A
639,Unfriended,"Drama,Horror,Mystery","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",Levan Gabriadze,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig",2014,83,5.6,50402,31.54,59,R,17 Apr 2015,Nelson Greaves,"Russia, United States",3 wins & 6 nominations total,"$32,482,090"
645,Viral,"Drama,Horror,Sci-Fi","Following the outbreak of a virus that wipes out the majority of the human population, a young woman documents her family's new life in quarantine and tries to protect her infected sister.",Henry Joost,"Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly",2016,85,5.5,3564,NA,72,R,29 Jul 2016,"Barbara Marshall, Christopher Landon",United States,N/A,N/A
648,Tall Men,"Fantasy,Horror,Thriller",A challenged man is stalked by tall phantoms in business suits after he purchases a car with a mysterious black credit card.,Jonathan Holbrook,"Dan Crisafulli, Kay Whitney, Richard Garcia, Pat Cashman",2016,133,3.2,173,NA,57,TV-MA,31 May 2016,Jonathan Holbrook,United States,1 win,N/A
651,Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical","The infamous story of Benjamin Barker, a.k.a. Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",Tim Burton,"Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall",2007,116,7.4,296289,52.88,83,R,21 Dec 2007,"John Logan, Hugh Wheeler, Christopher Bond","United Kingdom, United States",Won 1 Oscar. 34 wins & 77 nominations total,"$52,898,073"
653,Insidious,"Horror,Mystery,Thriller",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",2010,103,6.8,219916,53.99,52,PG-13,01 Apr 2011,Leigh Whannell,"United States, Canada",8 wins & 16 nominations total,"$54,009,150"
676,The Mist,Horror,"A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives.",Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden,Andre Braugher",2007,126,7.2,233346,25.59,58,R,21 Nov 2007,"Frank Darabont, Stephen King",United States,6 wins & 13 nominations total,"$25,594,957"
684,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.",Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan,Jemima West",2013,130,5.9,112313,31.17,33,PG-13,21 Aug 2013,"Jessica Postigo, Cassandra Clare","United States, Germany, Canada, United Kingdom",6 wins & 11 nominations total,"$31,165,421"
691,Resident Evil: Retribution,"Action,Horror,Sci-Fi",Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",2012,96,5.4,114144,42.35,39,R,14 Sep 2012,Paul W.S. Anderson,"Germany, Canada, United States",2 wins & 6 nominations total,"$42,345,531"
701,Funny Games,"Crime,Drama,Horror",Two psychopathic young men take a family hostage in their cabin.,Michael Haneke,"Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet",2007,111,6.5,73835,1.29,NA,R,04 Apr 2008,Michael Haneke,"United States, France, United Kingdom, Austria, Germany, Italy",1 win & 6 nominations total,"$1,294,919"
